time,变频器电网侧有功功率,外界温度,风向,风速
2018-01-05 00:00:00,0.0000000,0.3000000,0.7948148,0.0434419
2018-01-05 00:00:30,0.0000000,0.3000000,0.8051852,0.0370092
2018-01-05 00:01:00,0.0000000,0.3000000,0.8132410,0.0462824
2018-01-05 00:01:30,0.0000000,0.3000000,0.8190739,0.0473684
2018-01-05 00:02:00,0.0000000,0.3000000,0.8298148,0.0587302
2018-01-05 00:02:30,0.0000000,0.3000000,0.8213888,0.0585631
2018-01-05 00:03:00,0.0000000,0.3000000,0.8101858,0.0578112
2018-01-05 00:03:30,0.0000000,0.3000000,0.7963888,0.0586466
2018-01-05 00:04:00,0.0000000,0.3000000,0.8038889,0.0548037
2018-01-05 00:04:30,0.0000000,0.3000000,0.8087963,0.0572264
2018-01-05 00:05:00,0.0000000,0.3000000,0.8076852,0.0553049
2018-01-05 00:05:30,0.0000000,0.3000000,0.8213891,0.0590643
2018-01-05 00:06:00,0.0000000,0.3000000,0.8321296,0.0596491
2018-01-05 00:06:30,0.0000000,0.3000000,0.8309260,0.0560568
2018-01-05 00:07:00,0.0000000,0.3000000,0.8203703,0.0541353
2018-01-05 00:07:30,0.0000000,0.3000000,0.8245371,0.0546366
2018-01-05 00:08:00,0.0000000,0.3000000,0.8315740,0.0557226
2018-01-05 00:08:30,0.0000000,0.3000000,0.8385185,0.0583960
2018-01-05 00:09:00,0.0000000,0.3000000,0.8351852,0.0541353
2018-01-05 00:09:30,0.0000000,0.3000000,0.8350926,0.0572264
2018-01-05 00:10:00,0.0000000,0.3000000,0.8381482,0.0582289
2018-01-05 00:10:30,0.0000000,0.3000000,0.8558280,0.0319967
2018-01-05 00:11:00,0.0000000,0.3000000,0.8473134,0.0324979
2018-01-05 00:11:30,0.0000000,0.2985714,0.8478703,0.0483709
2018-01-05 00:12:00,0.0000000,0.2971429,0.8589816,0.0365915
2018-01-05 00:12:30,0.0000000,0.2971429,0.9156604,0.0061821
2018-01-05 00:13:00,0.0000000,0.2971429,0.9375838,0.0262322
2018-01-05 00:13:30,0.0000000,0.2971429,0.8863880,0.0523810
2018-01-05 00:14:00,0.0000000,0.2971429,0.8611109,0.0477026
2018-01-05 00:14:30,0.0000000,0.2971429,0.9090144,0.0220551
2018-01-05 00:15:00,0.0000000,0.2971429,0.9718361,0.0229741
2018-01-05 00:15:30,0.0000000,0.2971429,0.8470051,0.0273183
2018-01-05 00:16:00,0.0000000,0.2971429,0.8089816,0.0424394
2018-01-05 00:16:30,0.0000000,0.2971429,0.7949076,0.0355890
2018-01-05 00:17:00,0.0000000,0.2971429,0.7851851,0.0274018
2018-01-05 00:17:30,0.0000000,0.2971429,0.7718513,0.0314954
2018-01-05 00:18:00,0.0000000,0.2971429,0.7750926,0.0556391
2018-01-05 00:18:30,0.0000000,0.2971429,0.7762963,0.0594820
2018-01-05 00:19:00,0.0000000,0.2971429,0.7784258,0.0539683
2018-01-05 00:19:30,0.0000000,0.2971429,0.7901850,0.0557226
2018-01-05 00:20:00,0.0000000,0.2971429,0.8005555,0.0606516
2018-01-05 00:20:30,0.0000000,0.2971429,0.7968510,0.0606516
2018-01-05 00:21:00,0.0000000,0.2971429,0.7625926,0.0598162
2018-01-05 00:21:30,0.0000000,0.2971429,0.7056248,0.0573099
2018-01-05 00:22:00,0.0000000,0.2971429,0.6949077,0.0324979
2018-01-05 00:22:30,0.0000000,0.2971429,0.7098157,0.0336675
2018-01-05 00:23:00,0.0000000,0.2971429,0.7203716,0.0154553
2018-01-05 00:23:30,0.0000000,0.2971429,0.7366621,0.0210526
2018-01-05 00:24:00,0.0000000,0.2971429,0.7692594,0.0464495
2018-01-05 00:24:30,0.0000000,0.2971429,0.7743552,0.0592314
2018-01-05 00:25:00,0.0000000,0.2971429,0.7525000,0.0582289
2018-01-05 00:25:30,0.0000000,0.2971429,0.7710211,0.0612364
2018-01-05 00:26:00,0.0000000,0.2971429,0.8035196,0.0536341
